databaseName,centerURI,centerPrefName
Radboud UMC,https://ror.org/05wg1m734,Radboud University Nijmegen Medical Centre
LUMC Leiden,https://ror.org/05xvt9f17, Leiden University Medical Center
Duchenne Centrum Nederland,http://example.org/WIP,http://example.org/WIP
"UZ Gasthuisberg (Leuven, België)",https://ror.org/0424bsv16, Universitair Ziekenhuis Leuven
Erasmus UMC (Rotterdam),https://ror.org/018906e22, Erasmus MC
RadboudUMC (Nijmegen),https://ror.org/05wg1m734, Radboud University Nijmegen Medical Centre
Edinburgh Sick Children's Hospital,https://ror.org/01cb0kd74, Royal Hospital for Children
Edinburgh Sick Children's,https://ror.org/01cb0kd74, Royal Hospital for Children
UMCG (Groningen),https://ror.org/03cv38k47, University Medical Center Groningen
MUMC  (Maastricht),https://ror.org/02d9ce178, Maastricht University Medical Centre
UMCU  (Utrecht),https://ror.org/0575yy874, University Medical Center Utrecht
LUMC (Leiden),https://ror.org/05xvt9f17, Leiden University Medical Center
Musselburgh Multidisciplinary practice,http://example.org/WIP,http://example.org/WIP 
Libra Tilburg,https://www.midpointbrabant.nl/libra-tilburg-2/, Libra Tilburg
Amphia Molengracht Breda,https://ror.org/01g21pa45, Amphia Ziekenhuis
Great Ormond Street Hospital,https://ror.org/00zn2c847, Great Ormond Street Hospital
Bravis Ziekenhuis Bergen op Zoom,https://ror.org/05564wx43, Bravis Ziekenhuis
